entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,description,notes,payment_id,arn,settlement_utr,order_id,order_receipt,method,upi_flow,card_network,card_issuer,card_type,dispute_id,additional_utr
pay_QZ5l3Bz6BsSrvl,payment,0,0,1238.90,INR,1.18,0.18,0,1,25/05/2025 13:44:05,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ58AnpBXEw6of,C00021548,upi,,,,,,
pay_QZ6D3uyy1yMUq3,payment,0,0,50383.50,INR,1.18,0.18,0,1,25/05/2025 14:10:43,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":50000,""t1_gst"":22.5,""t1_transaction_charges"":125,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ66DeB284eI6J,C00021549,upi,,,,,,
pay_QZ6ltTkbotFCYm,payment,0,0,15280.30,INR,1.18,0.18,0,1,25/05/2025 14:43:41,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":15000,""t1_gst"":6.8,""t1_transaction_charges"":37.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ6lZh6E5109r2,C00021551,upi,,,,,,
pay_QZ7dgJToIQ2pr2,payment,0,0,25309.70,INR,1.18,0.18,0,1,25/05/2025 15:34:50,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":25000,""t1_gst"":11.2,""t1_transaction_charges"":62.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ7cMOLr7QxI4w,C00021553,upi,,,,,,
pay_QZ8F67q3BIzEBS,payment,0,0,2241.90,INR,1.18,0.18,0,1,25/05/2025 16:10:04,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":2000,""t1_gst"":0.9,""t1_transaction_charges"":5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ8EetuqGvRbZx,C00021555,upi,,,,,,
pay_QZ8cOXzkN0MSWa,payment,0,0,10265.50,INR,1.18,0.18,0,1,25/05/2025 16:32:09,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":10000,""t1_gst"":4.5,""t1_transaction_charges"":25,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ8b8SCBiTfevL,C00021556,upi,,,,,,
pay_QZ9T4NyQPF9VnM,payment,0,0,1238.90,INR,1.18,0.18,0,1,25/05/2025 17:21:54,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZ9RRzCzwCc6CW,C00021557,upi,,,,,,
pay_QZAG5eAwd1ZlwE,payment,0,0,1002.90,INR,1.18,0.18,0,1,25/05/2025 18:08:17,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZAFv7uA0tbu2C,C00021558,upi,,,,,,
pay_QZBAKy02hhXalK,payment,0,9026.50,9026.50,INR,11.80,1.80,0,1,25/05/2025 19:02:06,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS contribution,"{""t1_gst"":4,""t2_gst"":0,""t1_amount"":9000,""t2_amount"":0,""registration"":0,""t1_transaction_charges"":22.5,""t2_transaction_charges"":0}",,,,order_QZAZqTc9tgJ0Jm,C00021559,netbanking,,,,,,
pay_QZC5FQ6QteNshy,payment,0,0,10029.50,INR,1.18,0.18,0,1,25/05/2025 19:55:25,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":10000,""t1_gst"":4.5,""t1_transaction_charges"":25,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZC4I2WOofyPaY,C00021561,upi,,,,,,
pay_QZCHPV5lT0XGFz,payment,0,0,50383.50,INR,1.18,0.18,0,1,25/05/2025 20:07:02,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":50000,""t1_gst"":22.5,""t1_transaction_charges"":125,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZCH06ySJINEuI,C00021562,upi,,,,,,
pay_QZDHN8VnWU3GAX,payment,0,0,10029.50,INR,1.18,0.18,0,1,25/05/2025 21:05:35,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":10000,""t1_gst"":4.5,""t1_transaction_charges"":25,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZDH7KuaosqrYk,C00021563,upi,,,,,,
pay_QZDew32teRfJOU,payment,0,0,10265.50,INR,1.18,0.18,0,1,25/05/2025 21:27:56,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":10000,""t1_gst"":4.5,""t1_transaction_charges"":25,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZDehwsA5VV5Rd,C00021564,upi,,,,,,
pay_QZFDFywh8Crd89,payment,0,0,4247.80,INR,1.18,0.18,0,1,25/05/2025 22:59:09,26-05-2025,setl_QZGGYQ1PMII9g5,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":4000,""t1_gst"":1.8,""t1_transaction_charges"":10,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZFCTav7CN0fWj,C00021565,upi,,,,,,
setl_QZGGYQ1PMII9g5,settlement,25309.70,0,25309.70,INR,0,0,0,1,26/05/2025 00:00:40,26-05-2025,,,,,,514600394402,,,,,,,,,514600394402
pay_QZKpY7awCNyPaK,payment,0,0,2241.90,INR,1.18,0.18,0,1,26/05/2025 04:29:00,26-05-2025,setl_QZKrCfmjMrsMpj,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":2000,""t1_gst"":0.9,""t1_transaction_charges"":5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZKoyK7GrpESLk,C00021566,upi,,,,,,
setl_QZKrCfmjMrsMpj,settlement,0,0,0,INR,0,0,0,1,26/05/2025 04:30:09,26-05-2025,,,,,,,,,,,,,,,
pay_QZMtEqq1uKiUd1,payment,0,0,7522.20,INR,1.18,0.18,0,1,26/05/2025 06:29:44,26-05-2025,setl_QZMuM0w8xqjn3A,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":7500,""t1_gst"":3.4,""t1_transaction_charges"":18.8,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZMt0GZNn8PNmX,C00021568,upi,,,,,,
setl_QZMuM0w8xqjn3A,settlement,0,0,0,INR,0,0,0,1,26/05/2025 06:30:31,26-05-2025,,,,,,,,,,,,,,,
pay_QZO5P2IDuNiRjt,payment,0,0,5014.70,INR,1.18,0.18,0,1,26/05/2025 07:40:04,26-05-2025,setl_QZO6quaDko2kvO,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZO05dvp6Qdmkn,C00021570,upi,,,,,,
setl_QZO6quaDko2kvO,settlement,0,0,0,INR,0,0,0,1,26/05/2025 07:41:02,26-05-2025,,,,,,,,,,,,,,,
pay_QZOPgvznHIMjZl,payment,0,0,5014.70,INR,1.18,0.18,0,1,26/05/2025 07:59:23,26-05-2025,setl_QZOT7bocLQD4bg,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZOPHvWJluWqoR,C00021571,upi,,,,,,
setl_QZOT7bocLQD4bg,settlement,0,0,0,INR,0,0,0,1,26/05/2025 08:02:07,26-05-2025,,,,,,,,,,,,,,,
pay_QZOXnVSBuom0ue,payment,0,0,30088.50,INR,1.18,0.18,0,1,26/05/2025 08:06:43,26-05-2025,setl_QZOYxXL8f0RlZe,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":30000,""t1_gst"":13.5,""t1_transaction_charges"":75,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZOXQLxZDtekkA,C00021572,upi,,,,,,
setl_QZOYxXL8f0RlZe,settlement,0,0,0,INR,0,0,0,1,26/05/2025 08:07:38,26-05-2025,,,,,,,,,,,,,,,
pay_QZPlXDfQpKsqbo,payment,0,0,1002.90,INR,1.18,0.18,0,1,26/05/2025 09:18:35,26-05-2025,setl_QZPmpPbpkdxKzW,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZPkiIznpHpu8L,C00021574,upi,,,,,,
setl_QZPmpPbpkdxKzW,settlement,0,0,0,INR,0,0,0,1,26/05/2025 09:19:28,26-05-2025,,,,,,,,,,,,,,,
pay_QZPpKRjEf4cJeB,payment,0,0,5014.70,INR,1.18,0.18,0,1,26/05/2025 09:22:02,26-05-2025,setl_QZPr4zuChB0fWU,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZPpAMb4doErF1,C00021575,upi,,,,,,
setl_QZPr4zuChB0fWU,settlement,0,0,0,INR,0,0,0,1,26/05/2025 09:23:29,26-05-2025,,,,,,,,,,,,,,,
pay_QZPvwuNrNqdtTc,payment,0,0,3008.80,INR,1.18,0.18,0,1,26/05/2025 09:28:27,26-05-2025,setl_QZPxG686visQPB,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":3000,""t1_gst"":1.3,""t1_transaction_charges"":7.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZPvLEFaVJmDXJ,C00021576,upi,,,,,,
setl_QZPxG686visQPB,settlement,0,0,0,INR,0,0,0,1,26/05/2025 09:29:20,26-05-2025,,,,,,,,,,,,,,,
pay_QZQqxivL5ghTs2,payment,0,0,5014.70,INR,1.18,0.18,0,1,26/05/2025 10:22:23,26-05-2025,setl_QZQsF8L4OQ9rid,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZQoP4MWFFmzxb,C00021577,upi,,,,,,
setl_QZQsF8L4OQ9rid,settlement,0,0,0,INR,0,0,0,1,26/05/2025 10:23:17,26-05-2025,,,,,,,,,,,,,,,
pay_QZRFfzSgh0BD2s,payment,0,0,1238.90,INR,1.18,0.18,0,1,26/05/2025 10:46:25,26-05-2025,setl_QZRHwcnT800f4l,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZREFz97eaXmZ7,C00021578,upi,,,,,,
setl_QZRHwcnT800f4l,settlement,0,0,0,INR,0,0,0,1,26/05/2025 10:47:37,26-05-2025,,,,,,,,,,,,,,,
pay_QZSvea4y6039Xa,payment,0,0,1238.90,INR,1.18,0.18,0,1,26/05/2025 12:24:07,26-05-2025,setl_QZSxZ5msRCWgSv,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZSuwzkgAVZo9k,C00021580,upi,,,,,,
setl_QZSxZ5msRCWgSv,settlement,0,0,0,INR,0,0,0,1,26/05/2025 12:25:43,26-05-2025,,,,,,,,,,,,,,,
pay_QZTMRV0O1ZvHgs,payment,0,0,1238.90,INR,1.18,0.18,0,1,26/05/2025 12:49:46,26-05-2025,setl_QZTNpzSg16WIEm,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZTLyeeZc3jq9o,C00021581,upi,,,,,,
setl_QZTNpzSg16WIEm,settlement,0,0,0,INR,0,0,0,1,26/05/2025 12:50:35,26-05-2025,,,,,,,,,,,,,,,
pay_QZTinbzqpEWVH5,payment,0,0,10265.50,INR,1.18,0.18,0,1,26/05/2025 13:10:37,26-05-2025,setl_QZU5GUzhNljh4J,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":10000,""t1_gst"":4.5,""t1_transaction_charges"":25,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZTiY21eS3jf75,C00021582,upi,,,,,,
pay_QZToNf6treMkNK,payment,0,0,1002.90,INR,1.18,0.18,0,1,26/05/2025 13:16:01,26-05-2025,setl_QZU5GUzhNljh4J,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZTnzWyWBca5k0,C00021583,upi,,,,,,
pay_QZU2YBDfPqDJoF,payment,0,1238.90,1238.90,INR,8.26,1.26,0,1,26/05/2025 13:29:40,26-05-2025,setl_QZU5GUzhNljh4J,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZU2RHhNghmmqR,C00021584,netbanking,,,,,,
setl_QZU5GUzhNljh4J,settlement,1238.90,0,1238.90,INR,0,0,0,1,26/05/2025 13:31:42,26-05-2025,,,,,,CB0081110427,,,,,,,,,CB0081110427
pay_QZUHyCzMfRli13,payment,0,0,2241.90,INR,1.18,0.18,0,1,26/05/2025 13:44:39,26-05-2025,setl_QZUK8uhln85B7W,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":2000,""t1_gst"":0.9,""t1_transaction_charges"":5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZUFNcMFECRFip,C00021585,upi,,,,,,
setl_QZUK8uhln85B7W,settlement,0,0,0,INR,0,0,0,1,26/05/2025 13:45:46,26-05-2025,,,,,,,,,,,,,,,
pay_QZVdHnXQSNXExT,payment,0,0,1238.90,INR,1.18,0.18,0,1,26/05/2025 15:02:47,26-05-2025,setl_QZVeRpDLpE0UWD,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZVcub1JztqqMo,C00021587,upi,,,,,,
setl_QZVeRpDLpE0UWD,settlement,0,0,0,INR,0,0,0,1,26/05/2025 15:03:41,26-05-2025,,,,,,,,,,,,,,,
pay_QZViCtWlk4WVHQ,payment,0,0,1238.90,INR,1.18,0.18,0,1,26/05/2025 15:07:29,26-05-2025,setl_QZVjlhBVtEskg3,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZVhJkC3Wjeq8D,C00021588,upi,,,,,,
setl_QZVjlhBVtEskg3,settlement,0,0,0,INR,0,0,0,1,26/05/2025 15:08:44,26-05-2025,,,,,,,,,,,,,,,
pay_QZVrLp65SFvlRG,payment,0,0,5250.70,INR,1.18,0.18,0,1,26/05/2025 15:16:12,26-05-2025,setl_QZVsnEtqOsBLN6,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZVr2d3303ZCJy,C00021589,upi,,,,,,
setl_QZVsnEtqOsBLN6,settlement,0,0,0,INR,0,0,0,1,26/05/2025 15:17:17,26-05-2025,,,,,,,,,,,,,,,
pay_QZWcVDHDzBmYTb,payment,0,0,3244.80,INR,1.18,0.18,0,1,26/05/2025 16:01:01,26-05-2025,setl_QZWlJuVkoYWCvO,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":3000,""t1_gst"":1.3,""t1_transaction_charges"":7.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZWbM7XW05Yg7Z,C00021590,upi,,,,,,
setl_QZWlJuVkoYWCvO,settlement,0,0,0,INR,0,0,0,1,26/05/2025 16:08:53,26-05-2025,,,,,,,,,,,,,,,
pay_QZX6oTqHHea5Mw,payment,0,0,5250.70,INR,1.18,0.18,0,1,26/05/2025 16:29:45,26-05-2025,setl_QZXJ5ds7rloPa4,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":5000,""t1_gst"":2.2,""t1_transaction_charges"":12.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZX5r9U8i02arZ,C00021591,upi,,,,,,
pay_QZXHGqVCCJnRLI,payment,0,0,1002.90,INR,1.18,0.18,0,1,26/05/2025 16:39:35,26-05-2025,setl_QZXJ5ds7rloPa4,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":1000,""t1_gst"":0.4,""t1_transaction_charges"":2.5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZXGmMFf0ml2MC,C00021593,upi,,,,,,
setl_QZXJ5ds7rloPa4,settlement,0,0,0,INR,0,0,0,1,26/05/2025 16:40:52,26-05-2025,,,,,,,,,,,,,,,
pay_QZXR3aiFUFNNLu,payment,0,0,20059.00,INR,1.18,0.18,0,1,26/05/2025 16:48:39,26-05-2025,setl_QZXSBPEyhkZ60D,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":20000,""t1_gst"":9,""t1_transaction_charges"":50,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZXP7VLgTtarmX,C00021595,upi,,,,,,
setl_QZXSBPEyhkZ60D,settlement,0,0,0,INR,0,0,0,1,26/05/2025 16:49:28,26-05-2025,,,,,,,,,,,,,,,
pay_QZZ52NWq0d9O0K,payment,0,0,2005.90,INR,1.18,0.18,0,1,26/05/2025 18:25:12,26-05-2025,setl_QZZ6p0e7etEUoV,Payment towards NPS contribution,"{""registration"":0,""t1_amount"":2000,""t1_gst"":0.9,""t1_transaction_charges"":5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZZ4iXlowj3zj9,C00021597,upi,,,,,,
setl_QZZ6p0e7etEUoV,settlement,0,0,0,INR,0,0,0,1,26/05/2025 18:26:38,26-05-2025,,,,,,,,,,,,,,,
pay_QZaJUcblVNUaY8,payment,0,0,2241.90,INR,1.18,0.18,0,1,26/05/2025 19:37:36,26-05-2025,setl_QZaKiPfBL9mAIK,Payment towards NPS initial contribution,"{""registration"":236,""t1_amount"":2000,""t1_gst"":0.9,""t1_transaction_charges"":5,""t2_amount"":0,""t2_gst"":0,""t2_transaction_charges"":0}",,,,order_QZaIlKDJ4uKGY3,C00021600,upi,,,,,,
